,最寄駅：距離（分）,面積（㎡）,延床面積（㎡）,建築年,地区名,取引価格（総額）,市区町村コード,年号,和暦_年,築年数
1012,30,135,110,令和2年,熊本,25000000,40106,令和,2,2.0
1013,30,155,100,令和3年,熊本,28000000,40106,令和,3,1.0
1022,30,180,85,令和4年,黒原,32000000,40106,令和,4,0.0
1024,30,185,155,平成8年,黒原,20000000,40106,平成,8,27.0
1025,30,260,140,昭和48年,黒原,15000000,40106,昭和,48,50.0
1026,30,210,220,昭和55年,黒原,15000000,40106,昭和,55,43.0
1027,30,170,180,昭和54年,黒原,12000000,40106,昭和,54,44.0
1028,30,240,100,令和3年,黒原,30000000,40106,令和,3,1.0
1029,20,110,110,令和4年,黒原,26000000,40106,令和,4,0.0
1030,16,210,100,令和4年,黒原,30000000,40106,令和,4,0.0
1045,14,110,210,昭和56年,三郎丸,20000000,40106,昭和,56,42.0
1049,16,195,120,昭和63年,皿山町,12000000,40106,昭和,63,35.0
1050,29,160,65,昭和44年,山門町,7900000,40106,昭和,44,54.0
1053,16,230,105,平成29年,篠崎,27000000,40106,平成,29,6.0
1055,12,320,700,昭和54年,篠崎,27000000,40106,昭和,54,44.0
1056,16,200,85,昭和51年,篠崎,4400000,40106,昭和,51,47.0
1059,15,165,105,令和3年,篠崎,25000000,40106,令和,3,1.0
1060,24,145,60,昭和43年,篠崎,500000,40106,昭和,43,55.0
1061,15,180,110,令和3年,篠崎,26000000,40106,令和,3,1.0
1062,14,195,115,令和3年,篠崎,29000000,40106,令和,3,1.0
1063,16,240,80,昭和45年,篠崎,3000000,40106,昭和,45,53.0
1065,25,85,55,昭和51年,篠崎,4000000,40106,昭和,51,47.0
1076,15,610,70,昭和42年,下到津,56000000,40106,昭和,42,56.0
1079,23,140,55,昭和56年,下到津,2600000,40106,昭和,56,42.0
1087,18,95,85,平成15年,下到津,17000000,40106,平成,15,20.0
1088,30,60,80,昭和58年,下富野,3600000,40106,昭和,58,40.0
1089,18,810,760,昭和63年,下富野,140000000,40106,昭和,63,35.0
1092,18,310,100,昭和34年,下富野,800000,40106,昭和,34,64.0
1097,30,145,100,令和2年,下富野,26000000,40106,令和,2,2.0
1098,26,125,100,令和2年,下富野,24000000,40106,令和,2,2.0
1112,30,160,110,令和3年,白萩町,37000000,40106,令和,3,1.0
1113,30,160,110,令和3年,白萩町,35000000,40106,令和,3,1.0
1114,30,170,110,令和3年,白萩町,36000000,40106,令和,3,1.0
1117,29,115,95,平成10年,神幸町,12000000,40106,平成,10,25.0
1118,30,130,105,令和3年,神幸町,27000000,40106,令和,3,1.0
1120,11,85,85,昭和42年,新高田,1400000,40106,昭和,42,56.0
1121,8,95,100,平成5年,新高田,9300000,40106,平成,5,30.0
1123,9,160,105,令和3年,新高田,30000000,40106,令和,3,1.0
1125,10,50,40,昭和28年,末広,2500000,40106,昭和,28,70.0
1130,30,330,340,平成18年,須賀町,66000000,40106,平成,18,17.0
1136,21,115,90,平成3年,砂津,4300000,40106,平成,3,32.0
1144,21,165,90,昭和58年,高尾,8000000,40106,昭和,58,40.0
1147,30,180,100,令和3年,高峰町,40000000,40106,令和,3,1.0
1149,30,210,100,令和3年,高峰町,37000000,40106,令和,3,1.0
1155,14,35,60,昭和51年,田町,1000000,40106,昭和,51,47.0
1156,30,520,320,平成10年,富野台,39000000,40106,平成,10,25.0
1158,30,290,85,昭和48年,富野台,6800000,40106,昭和,48,50.0
1160,26,270,300,昭和62年,中井,29000000,40106,昭和,62,36.0
1165,20,220,170,昭和58年,中井,19000000,40106,昭和,58,40.0
1169,24,160,115,令和3年,中井,42000000,40106,令和,3,1.0
1170,19,105,65,昭和42年,中井,5500000,40106,昭和,42,56.0
1172,24,200,125,令和3年,中井,50000000,40106,令和,3,1.0
1174,21,140,115,昭和62年,中井,22000000,40106,昭和,62,36.0
1175,21,150,105,昭和42年,中井,14000000,40106,昭和,42,56.0
1176,23,155,100,令和3年,中井,43000000,40106,令和,3,1.0
1179,21,105,120,昭和42年,中井,4300000,40106,昭和,42,56.0
1180,23,100,70,昭和52年,中井,15000000,40106,昭和,52,46.0
1196,14,210,140,平成12年,長浜町,28000000,40106,平成,12,23.0
1201,8,185,230,昭和42年,萩崎町,23000000,40106,昭和,42,56.0
1237,14,170,110,平成23年,平松町,26000000,40106,平成,23,12.0
1239,13,40,80,昭和45年,古船場町,6000000,40106,昭和,45,53.0
1251,30,150,105,令和3年,緑ケ丘,33000000,40106,令和,3,1.0
1258,16,90,60,昭和46年,南丘,1800000,40106,昭和,46,52.0
1269,3,85,95,昭和53年,三萩野,6000000,40106,昭和,53,45.0
1270,23,145,105,昭和50年,都,7500000,40106,昭和,50,48.0
1271,25,125,85,昭和48年,都,1000000,40106,昭和,48,50.0
1272,25,430,165,昭和40年,都,5700000,40106,昭和,40,58.0
1274,30,1300,330,昭和48年,妙見町,66000000,40106,昭和,48,50.0
1275,30,145,105,昭和51年,妙見町,6500000,40106,昭和,51,47.0
1284,14,135,115,令和3年,明和町,34000000,40106,令和,3,1.0
1285,25,165,125,平成16年,明和町,23000000,40106,平成,16,19.0
1293,13,310,210,昭和43年,安部山,8000000,40107,昭和,43,55.0
1294,14,210,85,昭和63年,石田町,6400000,40107,昭和,63,35.0
1295,8,210,135,昭和60年,石田南,15000000,40107,昭和,60,38.0
1296,12,180,95,昭和58年,石田南,6200000,40107,昭和,58,40.0
1297,11,155,100,令和3年,石田南,28000000,40107,令和,3,1.0
1304,16,390,85,昭和54年,大字市丸,3800000,40107,昭和,54,44.0
